time,u1,u2
535.3870000000045,177.41,178.99
535.7570000000045,176.09,179.26
536.1260000000045,176.09,178.73
536.4970000000045,176.35,179.52
536.8660000000045,176.62,178.73
537.2350000000046,176.88,178.46
537.6060000000045,176.35,179.26
537.9750000000046,176.62,179.26
538.3400000000046,176.88,179.52
538.7120000000045,176.62,179.26
539.0830000000045,176.88,179.26
539.4530000000045,176.88,179.26
539.8240000000045,176.62,179.52
540.1970000000046,176.35,179.52
540.5560000000046,176.35,179.26
540.9260000000046,176.35,178.99
541.2970000000046,176.88,178.99
541.6670000000046,176.88,179.26
542.0350000000046,177.14,178.46
542.4030000000047,176.35,179.26
542.7720000000047,176.88,179.26
543.1410000000047,176.88,178.99
543.5030000000047,176.62,178.73
543.8730000000047,176.88,179.52
544.2420000000047,176.62,178.73
544.6140000000047,176.35,178.73
544.9820000000047,176.88,178.73
545.3540000000047,176.88,179.26
545.7250000000047,176.62,178.99
546.0950000000047,176.35,179.26
546.4670000000046,176.62,178.99
546.8400000000047,176.62,179.26
547.2090000000047,176.88,179.26
547.5820000000048,176.09,178.73
547.9540000000047,175.82,179.26
548.3250000000047,176.35,179.26
548.6910000000047,176.09,179.26
549.0620000000047,176.35,179.26
549.4340000000046,176.35,179.26
549.8040000000046,176.35,178.73
550.1740000000046,176.62,178.73
550.5440000000046,176.88,178.99
550.9160000000046,176.88,179.26
551.2750000000046,175.82,178.99
551.6440000000047,176.88,178.73
552.0140000000047,176.62,178.99
552.3820000000047,176.88,178.73
552.7510000000048,176.88,178.99
553.1200000000048,176.35,178.73
553.4890000000048,176.88,179.26
553.8610000000048,176.88,178.73
554.2270000000048,175.82,178.46
554.5950000000048,176.35,178.99
554.9660000000048,176.88,179.26
555.3340000000048,176.09,178.99
555.7060000000048,176.35,178.99
556.0790000000048,176.62,178.46
556.4510000000048,176.09,178.73
556.8270000000048,176.88,178.99
557.2000000000048,176.88,178.46
557.5710000000048,176.88,178.73
557.9400000000048,176.62,178.46
558.3090000000049,176.62,178.99
558.6790000000049,176.35,178.46
559.0510000000048,176.62,178.46
559.4220000000048,176.62,178.2
559.7940000000048,176.88,178.73
560.1670000000048,176.09,178.2
560.5390000000048,176.62,178.2
560.9090000000048,176.62,178.73
561.2800000000047,176.62,178.99
561.6470000000047,176.62,178.73
562.0120000000047,176.88,178.46
562.3770000000047,176.35,178.46
562.7460000000048,176.88,178.46
563.1140000000048,176.88,178.99
563.4850000000048,176.35,178.73
563.8540000000048,176.35,178.73
564.2270000000049,176.35,178.73
564.5940000000048,176.62,178.46
564.9630000000049,176.35,178.46
565.3270000000049,176.09,177.94
565.7000000000049,176.62,178.73
566.073000000005,176.62,178.73
566.443000000005,176.35,178.46
566.814000000005,176.88,178.2
567.182000000005,176.62,178.46
567.5550000000051,176.62,178.73
567.926000000005,176.35,178.46
568.2940000000051,176.35,178.46
568.6590000000051,176.62,178.46
569.0270000000052,176.88,178.46
569.3970000000052,176.35,178.46
569.7640000000051,176.09,178.46
570.1390000000051,176.35,178.46
570.5140000000051,176.88,178.46
570.8820000000052,176.09,177.94
571.2470000000052,176.62,178.46
571.6110000000052,175.82,178.2
571.9850000000052,176.35,177.67
572.3550000000052,176.35,178.46
572.7240000000053,176.62,178.46
573.0950000000053,176.62,178.2
573.4650000000053,176.88,178.46
573.8350000000053,176.62,178.46
574.2060000000052,176.09,178.46
574.5680000000052,176.62,177.67
574.9370000000052,176.88,177.67
575.3080000000052,176.62,178.46
575.6690000000052,176.62,177.67
576.0430000000052,176.35,177.94
576.4140000000052,176.35,178.2
576.7820000000053,176.88,177.67
577.1490000000052,176.62,178.2
577.5170000000053,175.82,178.2
577.8860000000053,176.35,177.94
578.2580000000053,176.35,177.67
578.6280000000053,176.62,177.67
578.9980000000053,176.62,177.94
579.3650000000052,176.62,177.94
579.7350000000052,176.35,178.2
580.1090000000053,176.35,177.41
580.4770000000053,176.62,177.94
580.8460000000053,176.35,177.67
581.2180000000053,176.62,177.94
581.5860000000054,176.62,177.67
581.9530000000053,176.62,177.94
582.3240000000053,176.88,177.41
582.6930000000053,176.62,178.2
583.0700000000053,176.35,177.67
583.4370000000052,176.62,177.94
583.8070000000052,176.09,178.2
584.1780000000052,176.35,177.41
584.5500000000052,176.88,177.67
584.9150000000052,176.62,177.94
585.2830000000052,176.62,177.67
585.6530000000052,176.09,177.67
586.0230000000053,176.62,177.41
586.3910000000053,176.62,177.67
586.7630000000053,176.35,177.67
587.1320000000053,176.62,177.67
587.5000000000053,176.88,177.41
587.8700000000053,176.62,177.67
588.2410000000053,176.88,177.67
588.6140000000054,176.62,177.41
588.9850000000054,176.35,177.41
589.3560000000053,176.35,177.67
589.7280000000053,176.62,177.14
590.0960000000053,176.62,177.67
590.4640000000054,176.09,177.94
590.8330000000054,177.14,177.41
591.2030000000054,176.62,177.41
591.5740000000054,176.35,177.14
591.9460000000054,176.35,177.67
592.3160000000054,176.09,177.14
592.6890000000054,176.88,176.88
593.0600000000054,175.82,177.41
593.4300000000054,176.35,176.62
593.8010000000054,176.88,177.41
594.1690000000054,176.35,177.41
594.5400000000054,176.62,177.41
594.9100000000054,176.35,177.14
595.2850000000054,176.88,176.88
595.6490000000055,176.62,176.88
596.0160000000054,176.88,177.14
596.3850000000054,176.62,177.41
596.7530000000055,176.62,177.41
597.1220000000055,176.88,176.62
597.4910000000056,176.09,176.62
597.8610000000056,176.88,177.41
598.2330000000055,177.14,177.14
598.6020000000055,176.62,177.14
598.9700000000056,176.62,176.62
599.3380000000056,176.88,176.88
599.7090000000056,176.88,177.14
600.0760000000056,176.88,177.14
600.4460000000056,176.62,177.14
600.8160000000056,176.62,176.88
601.1840000000057,176.88,177.14
601.5530000000057,176.62,177.14
601.9220000000057,176.35,177.14
602.2900000000058,176.62,177.14
602.6610000000057,176.35,177.14
603.0310000000057,176.62,176.62
603.4010000000058,176.62,177.14
603.7660000000058,176.88,176.62
604.1360000000058,176.62,176.62
604.5060000000058,176.62,176.62
604.8770000000058,176.35,177.14
605.2480000000057,176.09,176.62
605.6210000000058,176.62,176.88
605.9910000000058,176.35,176.88
606.3640000000058,176.88,176.88
606.7330000000059,176.35,176.88
607.1010000000059,176.62,177.14
607.4810000000059,176.88,176.62
607.849000000006,176.62,176.62
608.2210000000059,176.35,176.62
608.5910000000059,176.88,176.62
608.959000000006,176.88,176.88
609.3310000000059,176.88,176.09
609.699000000006,176.35,176.62
610.0660000000059,176.62,176.62
610.436000000006,176.09,176.35
610.804000000006,176.62,176.62
611.174000000006,176.88,176.35
611.544000000006,176.62,176.09
611.913000000006,176.62,176.62
612.279000000006,176.35,176.62
612.649000000006,176.35,176.62
613.021000000006,176.62,176.62
613.394000000006,176.88,175.82
613.764000000006,176.62,176.35
614.1320000000061,176.88,176.62
614.5000000000061,176.88,175.56
614.8700000000061,176.88,176.62
615.2380000000062,176.88,176.62
615.6050000000062,176.62,176.62
615.9740000000062,176.62,175.82
616.3430000000062,176.62,176.09
616.7120000000062,177.14,176.62
617.0850000000063,176.88,176.09
617.4510000000063,176.88,176.09
617.8220000000063,177.41,175.82
618.1910000000063,176.09,176.35
618.5580000000062,176.62,176.35
618.9260000000063,177.14,176.35
619.2960000000063,176.35,176.35
619.6660000000063,177.14,176.35
620.0360000000063,176.35,176.35
620.4030000000063,177.14,176.35
620.7730000000063,176.62,176.62
621.1460000000063,176.62,175.56
621.5160000000063,177.14,175.56
621.8890000000064,177.14,176.35
622.2610000000063,176.88,175.82
622.6330000000063,175.82,176.35
623.0050000000062,176.62,176.62
623.3690000000063,176.88,176.09
623.7380000000063,176.88,175.82
624.1060000000064,176.88,176.35
624.4760000000064,175.82,176.35
624.8480000000063,176.88,176.35
625.2150000000063,176.88,176.35
625.5850000000063,176.62,176.35
625.9540000000063,176.62,175.56
626.3200000000063,176.88,175.82
626.6940000000063,176.88,176.09
627.0570000000064,176.88,176.35
627.4270000000064,177.14,176.35
627.7950000000064,176.62,175.82
628.1590000000065,176.62,176.35
628.5300000000065,176.88,175.82
628.9030000000065,176.88,176.09
629.2660000000066,176.62,176.09
629.6360000000066,176.62,176.09
630.0020000000065,177.14,176.35
630.3700000000066,177.14,176.09
630.7390000000066,176.62,176.09
631.1110000000066,177.14,176.09
631.4820000000066,177.14,175.82
631.8530000000065,176.88,176.09
632.2220000000066,177.14,176.09
632.5910000000066,176.88,176.09
632.9600000000066,176.62,176.09
633.3290000000067,176.88,176.09
633.6960000000066,176.88,176.09
634.0620000000066,177.14,176.09
634.4320000000066,177.14,176.09
634.8050000000067,177.14,175.3
